id,LinName,bus_a,bus_b
307,Tuniche_2->PCortes154,215,169
308,Valdivia220->Pichirropulli220Aux,216,228
309,Ventanas110->Mirafl110,217,157
310,Ventanas110->Quillota110,217,181
311,Ventanas110->Torquemada110,217,212
312,Ventanas220->Ventanas110,218,217
313,PAzucar220->PAzucar220_aux,76,223
314,PAzucar220->PAzucar220_aux2,76,224
315,Nogales220aux->Nogales220,225,160
316,Ancoa500AuxS->Ancoa500,226,100
317,Pichirropulli220->Pichirropulli220AuxS,173,227
318,Pichirropulli220Aux->Pichirropulli220,228,173
319,Charrua220->Charrua220Aux,114,229
320,ASanta220->AMelipilla220,105,98
321,Itahue154->NvaNirivilo220,144,162
322,NvaNirivilo220->NvaCauquenes220,162,161
323,NvaCauquenes220->Lagunillas220,161,146
324,NvaNirivilo220->Constitucion066,162,131
325,NvaCauquenes220->Parral154,161,168
