cen_id,cen_name,type,bar_id
602,CASABERMEJA_FV,solar_fv,125
603,LA_FORESTA_FV,solar_fv,187
604,OVALLE_NORTE_FV,solar_fv,181
605,MECO_CHILLAN_FV,solar_fv,118
606,VENTURADA_FV,solar_fv,118
607,EL_ROMERAL_FV,solar_fv,211
608,MALINKE_FV,solar_fv,98
609,TRINIDAD_FV,solar_fv,98
610,NAHUEN_FV,solar_fv,98
611,LLAY_LLAY_FV,solar_fv,152
613,CORTIJO_FV,solar_fv,112
614,TAMAYA_FV,solar_fv,86
615,CHICAUMA_VERANO_FV,solar_fv,106
616,FUSTER_DEL_VERANO_FV,solar_fv,106
617,SANTA_RITA_FV,solar_fv,118
618,SAN_CAMILO_FV,solar_fv,144
619,PEGASUS_FV,solar_fv,118
620,SANTA_ESTER_FV,solar_fv,118
621,SOL_SANTA_INES_FV,solar_fv,135
622,CURACAVI_FV,solar_fv,149
623,DADINCO_FV,solar_fv,118
624,ORION_FV,solar_fv,118
625,LA_PALMA_FV,solar_fv,118
626,LINARES_SOLAR_FV,solar_fv,148
627,LAS_CATITAS_FV,solar_fv,148
628,LOS_TORDOS_FV,solar_fv,204
629,MOYA_FV,solar_fv,112
630,VALLE_DEL_SOL_FV,solar_fv,60
631,SANTA_CAROLINA_FV,solar_fv,211
632,PASTRAN_FV,solar_fv,155
633,SOL_DE_VARAS_FV,solar_fv,21
635,MEMBRILLO_FV,solar_fv,207
636,SALERNO_FV,solar_fv,98
638,AVILES_FV,solar_fv,187
639,VICENTE_FV,solar_fv,139
640,ESFENA_FV,solar_fv,53
641,ASTILLAS_FV,solar_fv,54
642,CONDOR_PELVIN_FV,solar_fv,116
643,MESETA_DE_LOS_ANDES_FV,solar_fv,178
646,CEME1_FV,solar_fv,60
647,PUNTA_DEL_VIENTO_FV,solar_fv,77
649,LA_MURALLA_FV,solar_fv,186
650,ALCALDESA_FV,solar_fv,118
651,ICB_FV,solar_fv,136
652,ESCORIAL_VERANO_FV,solar_fv,152
653,GR_PITAO_FV,solar_fv,207
654,CURICURA_FV,solar_fv,207
655,PENCAHUE_ESTE_FV,solar_fv,144
656,ALHUE_FV,solar_fv,187
657,MUTUPIN_FV,solar_fv,168
658,TECHOS_WATTS_FV,solar_fv,116
659,SAN_JAVIER_1_FV,solar_fv,156
660,DIEGO_ALMAGRO_SUR_FV,solar_fv,26
661,RCU_FV,solar_fv,207
662,SAN_ANTONIO_FV,solar_fv,148
663,CABRERO_FV,solar_fv,112
664,CANCURA_2_FV,solar_fv,111
665,SLK_CB_NUEVE_FV,solar_fv,178
666,NIHUE_FV,solar_fv,98
667,WATTS_LONQUEN_FV,solar_fv,107
668,PRETTY_FIELD_FV,solar_fv,36
669,PANGUILEMO_FV,solar_fv,204
670,PUELCHE_FV,solar_fv,159
671,VILLA_ALEMANA_FV,solar_fv,182
672,SANTA_MARGARITA_FV,solar_fv,187
673,MACHICURA_FV,solar_fv,128
674,LOS_MOLINOS_FV,solar_fv,98
675,CENTAURO_FV,solar_fv,118
676,NAZARINO_VERANO_FV,solar_fv,116
677,GABARDO_VERANO_FV,solar_fv,165
678,EL_MONTE_FV,solar_fv,98
679,QUETENA_FV,solar_fv,82
680,MELI_FV,solar_fv,199
681,ANDES_2B_FV,solar_fv,2
682,PEQUEN_FV,solar_fv,207
683,ANAKENA_FV,solar_fv,36
684,GRANATE_FV,solar_fv,36
685,SUNHUNTER_FV,solar_fv,36
686,MANDINGA_FV,solar_fv,98
687,CACHANAS_FV,solar_fv,211
688,GOLONDRINAS_FV,solar_fv,128
689,ELENA_FV,solar_fv,22
690,GUADALUPE_FV,solar_fv,178
691,AEROPUERTO_FV,solar_fv,204
692,CASTILLA_FV,solar_fv,12
693,CASTANO_FV,solar_fv,186
694,ERINOME_FV,solar_fv,144
695,LINARES_VDN_FV,solar_fv,148
696,REXNER_FV,solar_fv,178
697,JACARANDA_FV,solar_fv,36
698,BULNES_LOS_BARONES_FV,solar_fv,118
699,LINARES_SAN_ANTONIO_FV,solar_fv,148
700,EL_CUERVO_FV,solar_fv,207
703,SANTA_LUISA_FV,solar_fv,118
704,PACHIRA_FV,solar_fv,148
707,BRAMADA_FV,solar_fv,12
